10	187	1
10	188	13
10	204	2
10	206	1
10	211	1
100	1098	1
100	1164	1
100	1400	1
100	15	1
100	174	1
100	1926	1
100	3407	1
100	507	2
100	515	1
100	518	1
100	6049	1
100	6052	1
100	6053	1
100	6054	1
100	6056	1
100	6057	1
100	6058	1
100	6060	1
100	6061	1
100	6068	2
100	6069	1
100	6071	2
100	6073	2
100	697	4
1000	10037	3
1000	10628	1
1000	1067	1
1000	11077	2
1000	11182	1
1000	12746	1
1000	1318	1
1000	1353	1
1000	13600	3
1000	13668	1
1000	1487	1
1000	15076	2
1000	16	1
1000	16153	1
1000	17016	1
1000	17963	2
1000	1800	1
1000	1923	1
1000	19868	1
1000	2077	1
1000	22015	1
1000	22290	1
1000	2721	1
1000	2749	1
1000	2779	1
1000	2838	1
1000	2873	1
1000	28947	1
1000	2901	5
1000	31670	1
1000	3371	1
1000	34884	1
1000	34886	1
1000	35629	3
1000	35910	1
1000	37274	1
1000	3853	1
1000	39281	1
1000	40284	2
1000	407	1
1000	4595	1
1000	4879	1
1000	491	1
1000	50201	8
1000	50222	2
1000	50245	1
1000	504	1
1000	6251	1
1000	6460	1
1000	6720	1
1000	696	1
1000	7239	1
1000	7411	1
1000	7733	1
1000	8018	2
1000	8984	1
1000	9300	2
1000	9656	1
1001	1046	1
1001	10628	1
1001	12934	1
1001	1361	1
1001	1462	2
1001	1902	2
1001	1952	1
1001	2162	1
1001	23510	1
1001	407	2
1001	44597	1
1001	50257	17
1001	536	1
1001	542	2
1002	1239	1
1002	1363	1
1002	1838	1
1002	2308	1
1002	233	1
1002	50278	1
1002	50279	1
1002	515	1
1002	6071	1
1002	629	1
1002	6747	1
1002	9536	1
1003	11307	1
1003	11682	2
1003	11695	2
1003	11697	1
1003	11702	15
1003	11706	1
1003	12557	1
1003	12847	4
1003	14751	1
1003	14767	4
1003	14771	2
1003	15830	1
1003	15942	2
1003	16354	1
1003	17626	1
1003	1763	1
1003	20685	2
1003	220	1
1003	22754	1
1003	25581	1
1003	25669	1
1003	26239	2
1003	26257	1
1003	2671	1
1003	2876	1
1003	301	3
1003	30718	1
1003	3363	1
1003	38317	2
1003	38335	1
1003	38337	2
1003	41078	1
1003	45318	1
1003	46652	1
1003	46666	1
1003	48669	1
1003	4962	2
1003	50284	1
1003	50286	1
1003	50287	1
1003	8343	1
1003	878	1
1004	10984	1
1004	11880	1
1004	11895	2
1004	11928	1
1004	12017	1
1004	12059	1
1004	22434	1
1004	2407	1
1004	26699	1
1004	2986	1
1004	32001	1
1004	3689	1
1004	39648	1
1004	4827	1
1004	4953	1
1004	50324	1
1004	6936	1
1005	26746	1
1006	1019	1
1006	13921	1
1006	13925	1
1006	15060	1
1006	16676	2
1006	17621	3
1006	19228	1
1006	19691	1
1006	2407	3
1006	2420	2
1006	2436	5
1006	2591	1
1006	2592	2
1006	3053	1
1006	3062	1
1006	3084	1
1006	39502	2
1006	41184	1
1006	4760	1
1006	4819	1
1006	4995	1
1006	50357	1
1006	50359	24
1006	50362	11
1006	50374	1
1006	6091	1
1006	8129	1
1007	10225	2
1007	12501	1
1007	13203	1
1007	1420	3
1007	17938	1
1007	2125	1
1007	2180	1
1007	24089	3
1007	26654	1
1007	29629	1
1007	32895	1
1007	34063	1
1007	3589	1
1007	3853	7
1007	4084	2
1007	502	2
1007	6997	2
1007	8349	1
1007	89	1
1007	9470	1
1009	10582	1
1009	12672	1
1009	1352	2
1009	15267	1
1009	21696	1
1009	22425	1
1009	22759	5
1009	22832	1
1009	233	2
1009	23870	1
1009	2721	2
1009	2791	1
1009	294	1
1009	3358	1
1009	38448	1
1009	4044	1
1009	5546	1
1009	5572	2
1009	7304	1
1009	9594	2
1010	10242	1
1010	19147	1
1010	19174	1
1010	19181	1
1010	21385	1
1010	3923	1
1010	4700	1
1010	7549	1
1011	10051	4
1011	10452	1
1011	10460	2
1011	10474	1
1011	1103	1
1011	11479	1
1011	1188	1
1011	1198	1
1011	12122	1
1011	12208	1
1011	12212	1
1011	1222	2
1011	12261	3
1011	12661	1
1011	12672	1
1011	12694	2
1011	12721	2
